title,artist,year,decade,lyrics
Un-Break My Heart,Toni Braxton,1996,1990s,"38 ContributorsTranslationsDeutschEspañolUn-Break My Heart Lyrics“Un-Break My Heart” is Toni Braxton’s 2nd single released via LaFace Records off of her second studio album, Secrets, with Diane Warren as the writer of this ballad. Braxton, however, expressed dislike for… Read More 
La, la, la, la, la, la, la
Ah, ah
Ah-aye-aye, yeah, yeah

Don't leave me in all this pain
Don't leave me out in the rain
Come back and bring back my smile
Come and take these tears away
I need your arms to hold me now
The nights are so unkind
Bring back those nights when I held you beside me

Un-break my heart
Say you'll love me again
Undo this hurt you caused
When you walked out the door
And walked out of my life
Un-cry these tears
I cried so many nights
Un-break my heart
My heart

Take back that sad word goodbye
Bring back the joy to my life
Don't leave me here with these tears
Come and kiss this pain away
I can't forget the day you left
Time is so unkind
And life is so cruel without you here beside me

Un-break my heart
Say you'll love me again
Undo this hurt you caused
When you walked out the door
And walked out of my life
Un-cry these tears
I cried so many nights
Un-break my heart
Oh-oh-oh, ooh!

Don't leave me in all this pain
Don't leave me out in the rain
Bring back the nights when I held you beside me

Ooh, un-break my heart
Say you'll love me again
Undo this hurt you caused
When you walked out the door
And walked out of my life
Un-cry these tears
I cried so many, many nights
Ooh, un-break my
Un-break my heart, oh, baby
Come back and say you love me
Un-break my heart, sweet darlin'
Without you, I just can't go on

Say that you love me, say that you love me, tell me you love me
Un-break my- (Can't go on)
Say that you love me, say that you love me, tell me you love me
Un-break my-
Say that you love me, say that you love me, tell me you love me
Un-break my-
Say that you love me, say that you love me, tell me you love me
Un-break my-"
Believe,Cher,1998,1990s,"63 ContributorsTranslationsDeutschBelieve LyricsCher’s “Believe” is about getting over heartbreak. It pioneered the use of Auto-Tune as a recognizable vocal effect; at the time it was known as the “Cher effect”.

According to The New York Times the song… Read More 
(After love, after love)
(After love, after love)
(After love, after love)
(After love, after love)
(After love, after love)
(After love, after love)

No matter how hard I try
You keep pushing me aside
And I can't break through
There's no talking to you
It's so sad that you're leaving
It takes time to believe it
But after all is said and done
You're gonna be the lonely one, oh

Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""

What am I supposed to do
Sit around and wait for you?
Well, I can't do that
And there's no turning back
I need time to move on
I need love to feel strong
'Cause I've had time to think it through
And maybe I'm too good for you, oh

Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""

Well, I know that I'll get through this
'Cause I know that I am strong
And I don't need you anymore
Oh, I don't need you anymore
Oh, I don't need you anymore
No, I don't need you anymore

Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
(Do you believe in life after love?)"
Kiss From A Rose,Seal,1995,1990s,"83 ContributorsTranslationsDeutschKiss from a Rose Lyrics“Kiss from a Rose” is a song from Seal’s second eponymous album, Seal II. The song was first released as a single in July 1994. Re-released in 1995, it was included on the Batman Forever Soundtrack, which… Read More 

Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya
Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya
Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya
Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya

There used to be a greying tower alone on the sea
And you became the light on the dark side of me
Love remained a drug that's the high and not the pill

But did you know that when it snows
My eyes become large and
The light that you shine can't be seen?

Baby, I compare you to a kiss from a rose on the grey
Ooh, the more I get of you, stranger it feels, yeah
And now that your rose is in bloom
A light hits the gloom on the grey

Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya
Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya

There is so much a man can tell you
So much he can say
You remain my power, my pleasure, my pain, baby
To me, you're like a growing addiction that I can't deny
Won't you tell me, is that healthy, baby?

But did you know that when it snows
My eyes become large and
The light that you shine can't be seen?

Baby, I compare you to a kiss from a rose on the grey
Ooh, the more I get of you, stranger it feels, yeah
Now that your rose is in bloom
A light hits the gloom on the grey

I've been kissed by a rose on the grey
I, I've been kissed by a rose on the grey
I've (And if I should fall, will it all go away?) been kissed by a rose on the grey
I, I've been kissed by a rose on the grey

There is so much a man can tell you
So much he can say
You remain my power, my pleasure, my pain
To me you're like a growing addiction that I can't deny, yeah
Won't you tell me, is that healthy, baby?

But did you know that when it snows
My eyes become large and
The light that you shine can't be seen?

Baby, I compare you to a kiss from a rose on the grey
Ooh, the more I get of you, the stranger it feels, yeah
Now that your rose is in bloom
A light hits the gloom on the grey
Yes, I compare you to a kiss from a rose on the grey
Ooh, the more I get of you, the stranger it feels, yeah
And now that your rose is in bloom
A light hits the gloom on the grey

Ba-ya-ya, ba-da-da-da-da-da, ba-ya-ya

Now that your rose is in bloom
A light hits the gloom on the grey"
End Of The Road,Boyz II Men,1992,1990s,"51 ContributorsTranslationsDeutschEnd of the Road LyricsIn this song, one of the Boyz know that his time with his girl is coming to an end, but he isn’t ready to let go of her.

“End of the Road” was Boyz II Men’s first ever #1 single, reaching #1 on the Billboard… Read More 
Girl, you know we belong together
I have no time for you to be playin' with my heart like this
You'll be mine forever, baby, you just see

We belong together
And you know that I'm right
Why do you play with my heart
Why do you play with my mind?
Said we'd be forever
Said it'd never die
How could you love me and leave me
And never say goodbye?

When I can't sleep at night without holding you tight
Girl, each time I try, I just break down and cry
Pain in my head, oh, I'd rather be dead
Spinnin' around and around

Although we've come to the end of the road
Still, I can't let go
It's unnatural, you belong to me, I belong to you
Come to the end of the road
Still, I can't let go
It's unnatural, you belong to me, I belong to you

Girl, I know you really love me
You just don't realize
You've never been there before
It's only your first time
Maybe I'll forgive you, mmm
Maybe you'll try
We should be happy together
Forever, you and I

Will you love me again like you loved me before?
This time, I want you to love me much more
This time instead, just come to my bed
And baby, just don't let me, don't let me down, oh

Although we've come to the end of the road (End of the road)
Still, I can't let go (The end of the road and I know I can't let go, baby)
It's unnatural, you belong to me, I belong to you (I don't know what I'm gonna do)
Come to the end of the road (I don't know what I'm gonna do 'cause I know I've come to the end of the road, the end of the road)
Still, I can't let go (Oh my God, oh my God, help me out a little bit, baby)
It's unnatural, you belong to me, I belong to you

Girl, I'm here for you
All those times at night when you just hurt me
And just ran out with that other fella
Baby, I knew about it, I just didn't care
You just don't understand how much I love you, do you?
I'm here for you
I'm not out to go out and cheat all night (Maybe I'll forgive you, baby)
Just like you did, baby, but that's alright
Heh, I love you anyway (Maybe you'll try)
And I'm still gonna be here for you 'til my dying day, baby
Right now, I'm just in so much pain, baby (We should be happy together forever)
'Cause you just won't come back to me (You and I)
Will you? Just come back to me (Yeah, yeah)

(Lonely) Yes, baby, my heart is lonely
(Lonely) My heart hurts, baby
(Lonely) Yes, I feel pain too
(Lonely) Baby, please

This time instead, just come to my bed
And baby, just don't let me down

Although we've come to the end of the road (We've come to the end of the road)
Still, I can't let go (I know I just can't let go, no)
It's unnatural, you belong to me, I belong to you (No, no, no, no, no, no, no, no)
(I don't know what I'm gonna do)
Come to the end of the road (I don't know what I'm gonna do 'cause I know I've come to the end of the road, the end of the road)
Still, I can't let go (Oh my God, oh my God, help me out a little bit, baby)
It's unnatural (Baby), you belong to me (Baby), I belong to you (Baby)
Although we've come to the end of the road
Still, I can't let go (Alright, alright, alright)
It's unnatural, you belong to me, I belong to you (It's unnatural, you belong to me, I belong to you, woah)
Come to the end of the road (Although we've come to the end of the road)
Still, I can't let go (I know I just can't let go, no)
It's unnatural, you belong to me, I belong to you (No, no, no, no, no, no, no, no)"
Torn,Natalie Imbruglia,1997,1990s,"67 ContributorsTranslationsFrançaisDeutschTorn LyricsSmash hit in the nineties. Few are aware that this is actually a cover of a song initially written by the three future members of Ednaswap, Scott Cutler, Phil Thornalley, and Anne Preven, for Preven’s solo… Read More 
I thought I saw a man brought to life
He was warm, he came around like he was dignified
He showed me what it was to cry
Well, you couldn't be that man I adored
You don't seem to know, seem to care what your heart is for
But I don't know him anymore

There's nothin' where he used to lie
My conversation has run dry
That's what's goin' on
Nothing's fine, I'm torn

I'm all out of faith, this is how I feel
I'm cold, and I am shamed, lying naked on the floor
Illusion never changed into something real
I'm wide awake and I can see the perfect sky is torn
You're a little late, I'm already torn

So I guess the fortune teller's right
I should've seen just what was there
And not some holy light
But you crawled beneath my veins, and, now

I don't care, I had no luck
I don't miss it all that much
There's just so many things
That I can't touch, I'm torn

I'm all out of faith, this is how I feel
I'm cold, and I am shamed, lying naked on the floor
Illusion never changed into something real
I'm wide awake and I can see the perfect sky is torn
You're a little late, I'm already torn
Torn

(Ooh, ooh-ooh, ooh)
There's nothing where he used to lie
My inspiration has run dry
That's what's goin' on
Nothing's right, I'm torn

I'm all out of faith, this is how I feel
I'm cold, and I am shamed, lying naked on the floor
Illusion never changed into something real
I'm wide awake and I can see the perfect sky is torn
I'm all out of faith, this is how I feel
I'm cold, and I'm ashamed, bound and broken on the floor
You're a little late, I'm already torn
Torn, woah

Oh, yeah, oh, yeah
Oh, yeah, oh, yeah
Oh, yeah, oh, yeah"
Iris,Goo Goo Dolls,1998,1990s,"116 ContributorsTranslationsDeutschÍslenskaČeskyItalianosrpskiPolskiEspañolIris Lyrics“Iris” was written for the 1998 film City of Angels starring Nicolas Cage. John Rzeznik explained:

When I wrote it, I was thinking about the situation of the Nicolas Cage character in the movie. This guy is… Read More 
And I'd give up forever to touch you
'Cause I know that you feel me somehow
You're the closest to heaven that I'll ever be
And I don't wanna go home right now
And all I could taste is this moment
And all I can breathe is your life
And sooner or later, it's over
I just don't wanna miss you tonight

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And you can't fight the tears that ain't comin'
Or the moment of truth in your lies
When everything feels like the movies
Yeah, you bleed just to know you're alive

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am
And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am
I just want you to know who I am
I just want you to know who I am
I just want you to know who I am"
Losing My Religion,R.E.M.,1991,1990s,"124 ContributorsLosing My Religion Lyrics“Losing My Religion” was released as a single in February 1991, in advance of R.E.M.’s album, Out of Time, where it appeared as the second track.

It became R.E.M’s biggest hit, reaching #4 on the Billboard… Read More 

Oh, life, it's bigger
It's bigger than you
And you are not me
The lengths that I will go to
The distance in your eyes
Oh no, I've said too much
I set it up

That's me in the corner
That's me in the spotlight
Losin' my religion
Tryin' to keep up with you
And I don't know if I can do it
Oh no, I've said too much
I haven't said enough

I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

Every whisper
Of every waking hour
I'm choosin' my confessions
Tryin' to keep an eye on you
Like a hurt, lost, and blinded fool, fool
Oh no, I've said too much
I set it up

Consider this
Consider this, the hint of the century
Consider this, the slip
That brought me to my knees, failed
What if all these fantasies come
Flailing around?
Now, I've said too much

I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

But that was just a dream
That was just a dream

That's me in the corner
That's me in the spotlight
Losin' my religion
Tryin' to keep up with you
And I don't know if I can do it
Oh no, I've said too much
I haven't said enough

I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

But that was just a dream
Try, cry, why try?
That was just a dream
Just a dream
Just a dream, dream"
Smells Like Teen Spirit,Nirvana,1991,1990s,"347 ContributorsTranslationsРусский (Russian)TürkçeEspañolPortuguêsItalianoעברית (Hebrew)FrançaisDeutschفارسیČeskySvenskaPolskiМакедонскиSmells Like Teen Spirit LyricsConsidered by many to be the ultimate grunge anthem, “Smells Like Teen Spirit” was the lead single for Nirvana’s second studio album and major label debut, September 1991’s Nevermind. The song’s success and… Read More 
Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh no, I know a dirty word

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido, yeah

Hey, yay

I'm worse at what I do best
And for this gift, I feel blessed
Our little group has always been
And always will until the end

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido, yeah

Hey, yay

And I forget just why I taste
Oh, yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh, well, whatever, never mind

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

A denial, a denial
A denial, a denial
A denial, a denial
A denial, a denial
A denial"
Black Or White,Michael Jackson,1991,1990s,"130 ContributorsBlack or White Lyrics“Black or White” was the first single from Michael Jackson’s highly-anticipated eighth album Dangerous. With it, Jackson tied The Supremes for “third-most #1 songs in the US” when it became his 12th chart… Read More 
(Hey!) What?
(Turn it off) But dad, this is the best part!
(Turn it off) No!
(It's too late for this, turn it off)
Dad, this is the best part, come on
(No, turn it off now) No, this is the—, I wanna listen to it, okay?
('Cause it's too loud and disturbs the neighbors, turn it off now)
Right, too late? Sure, eat this

Aaow! (Ooh)
Aaow!

I took my baby on a Saturday bang
Boy, is that girl with you?
Yes, we're one and the same

Now, I believe in miracles
And a miracle has happened tonight, hee
But if you're thinking about my baby
It don't matter if you're black or white, ooh

They print my message in the Saturday sun
I had to tell 'em, ""I ain't second to none""

And I told about equality and it's true
Either you're wrong or you're right, hee
But if you're thinking about my baby
It don't matter if you're black or white, hoo

Gone wit' ya, babe
Hee-hee

I am tired of this devil
I am tired of this stuff
I am tired of this business
Go when the going gets rough
I ain't scared of your brother
I ain't scared of no sheets
I ain't scared of nobody
Go when the going gets mean

Protection for gangs, clubs, and nations
Causing grief in human relations
It's a turf war on a global scale
I'd rather hear both sides of the tale
See, it's not about races, just places, faces
Where your blood comes from, it's where your space is
I've seen the bright get duller
I'm not gonna spend my life being a color

Don't tell me you agree with me
When I saw you kicking dirt in my eye (Hee-hee)
But if you're thinking about my baby
It don't matter if you're black or white

I said if you're thinking of being my baby
It don't matter if you're black or white
I said if you're thinking of being my brother
It don't matter if you're black or white

Alright, alright (Ooh-ooh)
Alright (Yeah, yeah, yeah), yeah, now
Alright, alright (Ooh-ooh)
Shamone, don't (Yeah, yeah, yeah)
Yeah, now, alright, ah
It's black, it's white
It's tough for you to beat, yeah (Yeah, yeah, yeah)
It's black, it's white (It's white)
It's black, it's white
It's tough for you to beat, yeah (Yeah, yeah, yeah)
It's black, it's white, hoo!"
Gangsta's Paradise,Coolio,1995,1990s,"260 ContributorsTranslationssrpskiDeutschРусский (Russian)EspañolMagyarGangsta’s Paradise Lyrics“Gangsta’s Paradise” was released in August 1995 as the lead single from the Dangerous Minds soundtrack and the song’s success led Coolio to name his second studio album Gangsta’s Paradise, which was released… Read More 
As I walk through the valley of the shadow of death
I take a look at my life and realize there's nothin' left
'Cause I've been blastin' and laughin' so long that
Even my mama thinks that my mind is gone
But I ain't never crossed a man that didn't deserve it
Me be treated like a punk? You know that's unheard of
You better watch how ya talkin' and where you walkin'
Or you and your homies might be lined in chalk
I really hate to trip, but I gotta loc
As they croak, I see myself in the pistol smoke, fool
I'm the kinda G the little homies wanna be like
On my knees in the night sayin' prayers in the streetlight

They've been spendin' most their lives livin' in the gangsta's paradise
They've been spendin' most their lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise

Look at the situation they got me facin'
I can't live a normal life, I was raised by the street
So I gotta be down with the hood team
Too much television watchin' got me chasin' dreams
I'm a educated fool with money on my mind
Got my ten in my hand and a gleam in my eye
I'm a loc'd out gangsta, set trippin' banger
And my homies is down, so don't arouse my anger, fool
Death ain't nothin' but a heartbeat away
I'm livin' life do-or-die, what can I say?
I'm twenty-three now, but will I live to see twenty-four?
The way things is goin', I don't know

Tell me, why are we so blind to see
That the ones we hurt are you and me?

They've been spendin' most their lives livin' in the gangsta's paradise
They've been spendin' most their lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise

Power and the money, money and the power
Minute after minute, hour after hour
Everybody's runnin', but half of them ain't lookin'
It's goin' on in the kitchen, but I don't know what's cookin'
They say I got to learn, but nobody's here to teach me
If they can't understand it, how can they reach me?
I guess they can't, I guess they won't, I guess they front
That's why I know my life is out of luck, fool

They've been spendin' most their lives livin' in the gangsta's paradise
They've been spendin' most their lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise

Tell me, why are we so blind to see
That the ones we hurt are you and me?
Tell me, why are we so blind to see
That the ones we hurt are you and me?"
